video_id,true_class,pred_class,prob_fake,prob_real,num_frames,correct
fake_000_003,fake,fake,0.9985604286193848,0.001439494313672185,40,True
fake_001_870,fake,fake,0.9999999403953552,1.1730879379001635e-07,46,True
fake_002_006,fake,fake,0.9999990463256836,1.0908810281762271e-06,70,True
fake_003_000,fake,fake,0.9955700635910034,0.004429939668625593,31,True
fake_004_982,fake,fake,0.9844830632209778,0.01551707275211811,31,True
fake_005_010,fake,fake,0.9896661043167114,0.010333885438740253,39,True
fake_006_002,fake,fake,0.9979619383811951,0.002038027858361602,31,True
fake_007_132,fake,fake,0.9999582171440125,4.195800283923745e-05,51,True
fake_008_990,fake,fake,0.9873126149177551,0.01268728543072939,64,True
fake_009_027,fake,fake,0.9999997019767761,3.985412604379235e-07,59,True
fake_010_005,fake,fake,1.0,6.416809750220409e-09,48,True
fake_011_805,fake,fake,0.9999713897705078,2.873802623071242e-05,64,True
fake_012_026,fake,fake,0.9904036521911621,0.009596472606062889,37,True
fake_013_883,fake,fake,0.999951183795929,4.8836376663530245e-05,34,True
fake_014_790,fake,fake,0.9989784359931946,0.0010214954381808639,68,True
fake_015_919,fake,fake,0.9991798400878906,0.0008200295269489288,44,True
fake_016_209,fake,fake,0.9949555993080139,0.0050442637875676155,68,True
fake_017_803,fake,fake,0.9999647736549377,3.522168117342517e-05,39,True
fake_018_019,fake,fake,0.9964891076087952,0.0035108113661408424,44,True
fake_019_018,fake,fake,0.999376118183136,0.0006239597569219768,139,True
fake_020_344,fake,fake,0.9992372393608093,0.0007628418388776481,39,True
fake_021_312,fake,fake,0.995830774307251,0.004169184248894453,44,True
fake_022_489,fake,fake,0.987023115158081,0.012976876460015774,33,True
fake_023_923,fake,fake,0.999755859375,0.0002442529075779021,56,True
fake_024_073,fake,fake,0.9999173283576965,8.269729733001441e-05,31,True
fake_025_067,fake,fake,0.9983110427856445,0.0016890042461454868,75,True
fake_026_012,fake,fake,1.0,5.723894691556097e-10,33,True
fake_027_009,fake,fake,0.9870733022689819,0.012926663272082806,28,True
fake_028_068,fake,fake,0.9998117685317993,0.0001883360237115994,44,True
fake_029_048,fake,fake,0.9555641412734985,0.04443571716547012,42,True
fake_030_193,fake,fake,0.9999800324440002,1.9862724002450705e-05,30,True
fake_031_163,fake,fake,0.9997477531433105,0.0002522725844755769,49,True
fake_032_944,fake,fake,0.9994074702262878,0.0005925173172727227,31,True
fake_033_097,fake,fake,0.9922579526901245,0.0077421534806489944,81,True
fake_034_590,fake,fake,0.9997588396072388,0.00024114447296597064,41,True
fake_035_036,fake,fake,0.996275007724762,0.0037249198649078608,43,True
fake_036_035,fake,fake,0.9999547004699707,4.537169661489315e-05,34,True
fake_037_072,fake,fake,0.999988317489624,1.1680968782457057e-05,46,True
fake_038_125,fake,fake,0.9996062517166138,0.00039382153772749007,31,True
fake_039_058,fake,fake,0.9999988079071045,1.2226352055222378e-06,61,True
fake_040_997,fake,fake,0.9984152913093567,0.0015848029870539904,55,True
fake_041_063,fake,fake,0.9999771118164062,2.3045242414809763e-05,35,True
fake_042_084,fake,fake,0.9999968409538269,3.194565579178743e-06,34,True
